District,State,Risk_Score,CIS,Severity,Intervention,Priority,Budget,Duration_Days,Start_Date,End_Date,Staff_Required,Responsible_Authority,Target_Enrollments
Seraikela-Kharsawan,Jharkhand,99.5,0.2982222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Seraikela-Kharsawan,Jharkhand,99.5,0.2982222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bagalkot,Karnataka,99.5,0.2595,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bagalkot,Karnataka,99.5,0.2595,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bagalkot,Karnataka,99.5,0.2595,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bagalkot,Karnataka,99.5,0.2595,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Gaurela-pendra-marwahi,Chhattisgarh,99.5,0.1392222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Gaurela-pendra-marwahi,Chhattisgarh,99.5,0.1392222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Gaurela-pendra-marwahi,Chhattisgarh,99.5,0.1392222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bemetara,Chhattisgarh,99.5,0.2384444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bemetara,Chhattisgarh,99.5,0.2384444444444444,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bemetara,Chhattisgarh,99.5,0.2384444444444444,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Jalandhar,Punjab,99.4,0.296,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Jalandhar,Punjab,99.4,0.296,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Jalandhar,Punjab,99.4,0.296,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Jogulamba Gadwal,Telangana,99.4,0.1637777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Jogulamba Gadwal,Telangana,99.4,0.1637777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Jogulamba Gadwal,Telangana,99.4,0.1637777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Una,Himachal Pradesh,99.4,0.2644444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Una,Himachal Pradesh,99.4,0.2644444444444444,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Una,Himachal Pradesh,99.4,0.2644444444444444,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Krishna,Andhra Pradesh,99.4,0.1841111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Krishna,Andhra Pradesh,99.4,0.1841111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Cuttack,Odisha,99.4,0.2889444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Cuttack,Odisha,99.4,0.2889444444444444,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Cuttack,Odisha,99.4,0.2889444444444444,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Cuttack,Odisha,99.4,0.2889444444444444,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Domjur,West Bengal,99.4,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Domjur,West Bengal,99.4,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Domjur,West Bengal,99.4,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Hanumakonda,Telangana,99.4,0.1777777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Hanumakonda,Telangana,99.4,0.1777777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Hanumakonda,Telangana,99.4,0.1777777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
East midnapore,West Bengal,99.4,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
East midnapore,West Bengal,99.4,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
East midnapore,West Bengal,99.4,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
West Godavari,Andhra Pradesh,99.4,0.184,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
West Godavari,Andhra Pradesh,99.4,0.184,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Pakke Kessang,Arunachal Pradesh,99.4,0.09,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Pakke Kessang,Arunachal Pradesh,99.4,0.09,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Pakke Kessang,Arunachal Pradesh,99.4,0.09,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kinnaur,Himachal Pradesh,99.4,0.2294444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kinnaur,Himachal Pradesh,99.4,0.2294444444444444,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kinnaur,Himachal Pradesh,99.4,0.2294444444444444,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Vikarabad,Telangana,99.4,0.126,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Vikarabad,Telangana,99.4,0.126,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Vikarabad,Telangana,99.4,0.126,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Balianta,Odisha,99.4,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Balianta,Odisha,99.4,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Balianta,Odisha,99.4,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bhadrak(R),Odisha,99.4,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bhadrak(R),Odisha,99.4,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bhadrak(R),Odisha,99.4,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Thiruvarur,Tamil Nadu,99.4,0.2103333333333333,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Thiruvarur,Tamil Nadu,99.4,0.2103333333333333,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Thiruvarur,Tamil Nadu,99.4,0.2103333333333333,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bicholim,Goa,99.4,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bicholim,Goa,99.4,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bicholim,Goa,99.4,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Wardha,Maharashtra,99.4,0.2482222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Wardha,Maharashtra,99.4,0.2482222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Wardha,Maharashtra,99.4,0.2482222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Tumakuru,Karnataka,99.3,0.2672222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Tumakuru,Karnataka,99.3,0.2672222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Tumakuru,Karnataka,99.3,0.2672222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Perambalur,Tamil Nadu,99.3,0.1858888888888888,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Perambalur,Tamil Nadu,99.3,0.1858888888888888,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Perambalur,Tamil Nadu,99.3,0.1858888888888888,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Rae Bareli,Uttar Pradesh,99.3,0.2498888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Rae Bareli,Uttar Pradesh,99.3,0.2498888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Tirupati,Andhra Pradesh,99.3,0.1792222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Tirupati,Andhra Pradesh,99.3,0.1792222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Tirupati,Andhra Pradesh,99.3,0.1792222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Viluppuram,Tamil Nadu,99.3,0.2122307692307692,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Viluppuram,Tamil Nadu,99.3,0.2122307692307692,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Viluppuram,Tamil Nadu,99.3,0.2122307692307692,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Viluppuram,Tamil Nadu,99.3,0.2122307692307692,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Bally Jagachha,West Bengal,99.3,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bally Jagachha,West Bengal,99.3,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bally Jagachha,West Bengal,99.3,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bhandara,Maharashtra,99.3,0.2582222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bhandara,Maharashtra,99.3,0.2582222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bhandara,Maharashtra,99.3,0.2582222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Serchhip,Mizoram,99.3,0.171,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Serchhip,Mizoram,99.3,0.171,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Serchhip,Mizoram,99.3,0.171,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Ballia,Uttar Pradesh,99.3,0.2209999999999999,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Ballia,Uttar Pradesh,99.3,0.2209999999999999,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Karimnagar,Andhra Pradesh,99.3,0.2005,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Karimnagar,Andhra Pradesh,99.3,0.2005,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Karimnagar,Andhra Pradesh,99.3,0.2005,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Karimnagar,Andhra Pradesh,99.3,0.2005,🔴 CRITICAL,Digital Literacy & Awareness Program,🔴 URGENT,"₹250,000",45,2026-01-24,2026-03-10,5,District Collector Office,1500
Medchal?malkajgiri,Telangana,99.3,0.2,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Medchal?malkajgiri,Telangana,99.3,0.2,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Medchal?malkajgiri,Telangana,99.3,0.2,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Cuddapah,Andhra Pradesh,99.3,0.1911111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Cuddapah,Andhra Pradesh,99.3,0.1911111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kakching,Manipur,99.3,0.0668888888888888,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kakching,Manipur,99.3,0.0668888888888888,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kakching,Manipur,99.3,0.0668888888888888,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Erode,Tamil Nadu,99.3,0.2081111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Erode,Tamil Nadu,99.3,0.2081111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Mancherial,Telangana,99.2,0.1393333333333333,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Mancherial,Telangana,99.2,0.1393333333333333,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Mancherial,Telangana,99.2,0.1393333333333333,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Daman,Dadra and Nagar Haveli and Daman and Diu,99.2,0.1381481481481481,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Daman,Dadra and Nagar Haveli and Daman and Diu,99.2,0.1381481481481481,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Daman,Dadra and Nagar Haveli and Daman and Diu,99.2,0.1381481481481481,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Siddipet,Telangana,99.2,0.1662222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Siddipet,Telangana,99.2,0.1662222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Siddipet,Telangana,99.2,0.1662222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Komaram Bheem,Telangana,99.2,0.1207777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Komaram Bheem,Telangana,99.2,0.1207777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Komaram Bheem,Telangana,99.2,0.1207777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Chamrajanagar,Karnataka,99.2,0.2815555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Chamrajanagar,Karnataka,99.2,0.2815555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Chamrajanagar,Karnataka,99.2,0.2815555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,99.2,0.1551111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,99.2,0.1551111111111111,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,99.2,0.1551111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kanyakumari,Tamil Nadu,99.2,0.1898888888888888,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kanyakumari,Tamil Nadu,99.2,0.1898888888888888,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kanyakumari,Tamil Nadu,99.2,0.1898888888888888,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Almora,Uttarakhand,99.2,0.2064,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Almora,Uttarakhand,99.2,0.2064,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Almora,Uttarakhand,99.2,0.2064,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Nalgonda,Andhra Pradesh,99.2,0.2012777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Nalgonda,Andhra Pradesh,99.2,0.2012777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Nalgonda,Andhra Pradesh,99.2,0.2012777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
